,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
148,0.774,0.825,-5.855,0.0408,0.0164,6.77e-05,0.271,0.668,120.989,47FuxUowVBxua1XxsbLKKX,186446
149,0.861,0.598,-11.155,0.0665,0.00483,0.0607,0.0306,0.417,113.006,1hsFJ92y0FU2cFOOLkEFVr,374849
150,0.66,0.878,-6.647,0.0596,0.212,0.663,0.16,0.264,129.004,3JsH3qnwhYGs20PBMsCgNx,213800
151,0.716,0.881,-7.027,0.0536,0.000561,0.67,0.216,0.293,123.984,5SfcsMI2nJhdZpmwCcNEGf,220887
152,0.636,0.869,-5.289,0.0412,0.0378,0.0446,0.0808,0.306,143.011,5eTaQYBE1yrActixMAeLcZ,186496
153,0.925,0.561,-8.675,0.176,0.0659,0.0271,0.152,0.721,128.034,59QDyqLww2pxyg9ijOPO7f,181365
154,0.847,0.69,-7.877,0.0493,0.0127,6e-05,0.0526,0.692,125.004,4zN21mbAuaD0WqtmaTZZeP,186662
155,0.852,0.988,-6.007,0.0588,0.00951,0.302,0.0629,0.67,128.013,6t4VHEcJ7Kek9pgGHlDp6R,181875
156,0.751,0.834,-7.018,0.0713,0.0749,0.000505,0.149,0.563,133.972,2K6qq0V7jXSlhucLr8R74Z,175246
157,0.714,0.917,-6.649,0.0869,0.0509,0.823,0.0725,0.579,160.057,43OMUa5jouGCZEz9k9vooo,240060
158,0.668,0.723,-9.315,0.0395,0.000646,0.85,0.205,0.0322,123.999,0kXPOcMLExBxGeS4YJexzk,325744
159,0.753,0.872,-7.552,0.0478,0.000998,0.291,0.0774,0.573,139.996,0Ex4dfzYtS1tgoubw8jLod,241825
160,0.555,0.918,-10.394,0.034,0.00721,0.861,0.104,0.1,121.988,6PzfuuQ95fRU9JRFSFFq77,283902
161,0.534,0.854,-7.468,0.0344,0.00239,0.0441,0.138,0.477,135.013,63MBVrJ8nADdP4AXbBGlOj,166000
162,0.51,0.842,-9.901,0.038,0.00128,0.852,0.146,0.146,132.0,5bAmqp96l9YO7V8LW5sUjZ,421818
163,0.713,0.837,-5.96,0.0368,0.0283,0.0,0.0722,0.351,137.979,5r2620VyMS4JpB9UhmYjpG,175676
164,0.736,0.906,-7.589,0.048,0.164,0.585,0.106,0.698,137.001,39JofJHEtg8I4fSyo7Imft,226627
165,0.612,0.862,-2.903,0.037,0.041,0.0,0.0907,0.354,123.849,4laAKIq9ZxBCwf99rauPYb,160766
166,0.56,0.832,-6.432,0.0363,0.00953,0.00541,0.546,0.0818,126.0,4qDpLaFGf5ampf2DXD2TMA,236000
167,0.804,0.875,-6.975,0.059,0.0289,0.484,0.0469,0.809,130.011,536rYtZCAq33yLmthsLTfE,247385
168,0.683,0.932,-10.402,0.0513,0.0389,0.605,0.0615,0.553,125.002,0w7JPlp7eEQI2EKW3ayXrv,235786
169,0.767,0.862,-5.464,0.0606,0.14,0.0092,0.252,0.509,128.039,1M8t1j3Kv2qp97bdq5q4Vl,166570
