,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster,id
191,0.576,0.953,-8.968,0.0362,0.00106,0.49,0.474,0.303,140.042,456480,0,7xQYVjs4wZNdCwO0EeAWMC
192,0.814,0.874,-5.316,0.0425,0.000222,0.522,0.276,0.434,123.992,161041,0,1olCzMxaeiQKNO64ssWVGr
193,0.716,0.917,-5.091,0.0331,0.123,0.396,0.0628,0.751,124.032,160669,3,4O3APpGNhOldqDsPF8IaS5
194,0.812,0.796,-10.548,0.0356,0.00826,0.921,0.365,0.961,125.976,249679,0,5krhFNgUcYHwXlNPJJYzFM
195,0.907,0.707,-7.627,0.185,0.00983,0.444,0.166,0.566,129.097,141395,1,26zt79lTciS4tfncBX1qPV
196,0.824,0.511,-9.049,0.151,0.0187,0.834,0.309,0.0858,127.959,195952,4,6U7DCvIA93YYzyFYwmiIIe
197,0.639,0.873,-6.222,0.0408,0.0237,0.0143,0.119,0.258,121.031,199091,3,3LnETnq2xyUpKcGqAQLJy1
198,0.736,0.827,-3.902,0.0643,0.0199,0.00828,0.351,0.814,125.008,209760,0,4u3XiAwJ2U9Kxgy57gcAPB
199,0.705,0.524,-9.776,0.032,0.112,0.26,0.109,0.219,119.987,230016,4,11SEKnYpFCFRXnUap3Cso2
200,0.438,0.805,-6.237,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,240800,3,2aoo2jlRnM3A0NyLQqMN2f
